VM Name,Cores,Memory,RequiresSSD
VM-1,1,4,N
VM-2,2,5,N
VM-3,2,4,N
VM-4,2,4,N
VM-5,2,5,N
VM-6,2,5,N
VM-7,2,4,N
VM-8,4,12,N
VM-9,2,14,N
VM-10,2,4,N
VM-11,2,5,N
VM-12,1,6,N
VM-13,2,8,N
VM-14,2,20,N
VM-15,1,8,N
VM-16,4,12,N
VM-17,2,6,N
VM-18,2,7,N
VM-19,2,5,N
VM-20,2,16,N
VM-21,2,5,N
VM-22,2,8,N
VM-23,2,7,N
VM-24,4,8,N
VM-25,2,7,N
VM-26,1,4,N
VM-27,2,5,N
VM-28,4,5,N
VM-29,1,4,N
VM-30,2,8,N
VM-31,1,4,N
VM-32,2,5,N
VM-33,2,4,N
VM-34,1,4,N
VM-35,4,4,N
VM-36,1,4,N
VM-37,4,4,N
VM-38,1,4,N
VM-39,2,2,N
VM-40,1,2,N
VM-41,4,8,N
VM-42,2,8,N
VM-43,8,20,N
VM-44,2,6,N
VM-45,8,20,N
VM-46,2,6,N
VM-47,8,20,N
VM-48,2,8,N
VM-49,8,20,N
VM-50,2,13,N
VM-51,2,4,N
VM-52,2,6,N
VM-53,8,20,N
VM-54,1,8,N
VM-55,1,4,N
VM-56,2,5,N
VM-57,1,8,N
VM-58,1,2,N
VM-59,1,8,N
VM-60,1,2,N
VM-61,2,4,N
VM-62,1,4,N
VM-63,2,32,N
VM-64,4,8,N
VM-65,2,12,N
VM-66,2,10,N
VM-67,2,16,N
VM-68,2,10,N
VM-69,1,10,N
VM-70,1,4,N
VM-71,2,10,N
VM-72,2,10,N
VM-73,1,8,N
VM-74,2,10,N
VM-75,2,4,N
VM-76,4,4,N
VM-77,2,7,N
VM-78,1,2,N
VM-79,1,4,N
VM-80,2,12,N
VM-81,2,9,N
VM-82,1,8,N
VM-83,1,2,N
VM-84,1,2,N
VM-85,1,2,N
VM-86,8,20,N
VM-87,1,2,N
VM-88,2,4,N
VM-89,1,2,N
VM-90,1,4,N
VM-91,2,8,N
VM-92,2,4,N
VM-93,1,2,N
VM-94,8,16,N
VM-95,1,2,N
VM-96,2,10,N
VM-97,2,8,N
VM-98,2,8,N
VM-99,2,4,N
VM-100,4,4,N
VM-101,2,4,N
VM-102,2,20,N
VM-103,4,12,N
VM-104,1,8,N
VM-105,4,12,N
VM-106,1,4,N
VM-107,4,12,N
VM-108,2,4,N
VM-109,4,12,N
VM-110,1,4,N
VM-111,8,20,N
VM-112,2,32,N
VM-113,1,2,N
VM-114,2,8,N
VM-115,4,16,N
VM-116,1,4,N
VM-117,2,20,N
VM-118,2,4,N
VM-119,1,2,N
VM-120,2,4,N
VM-121,1,2,N
VM-122,2,6,N
VM-123,1,2,N
VM-124,2,4,N
VM-125,8,20,N
VM-126,2,4,N
VM-127,2,10,N
VM-128,1,4,N
VM-129,1,4,N
VM-130,2,11,N
VM-131,2,4,N
VM-132,2,8,N
VM-133,1,8,N
VM-134,1,7,N
VM-135,4,16,N
VM-136,1,8,N
VM-137,1,4,N
VM-138,2,32,N
VM-139,1,2,N
VM-140,1,4,N
VM-141,8,30,N
VM-142,2,5,N
VM-143,2,4,N
VM-144,2,32,N
VM-145,1,4,N
VM-146,8,20,N
VM-147,1,4,N
VM-148,8,20,N
VM-149,1,4,N
VM-150,1,4,N
VM-151,4,8,N
VM-152,1,20,N
VM-153,2,4,N
VM-154,2,2,N
VM-155,2,10,N
VM-156,2,12,N
VM-157,2,20,N
VM-158,2,8,N
VM-159,4,16,N
VM-160,4,8,N
VM-161,1,2,N
VM-162,4,8,N
VM-163,2,8,N
VM-164,4,8,N
VM-165,1,2,N
VM-166,4,8,N
VM-167,3,16,N
VM-168,4,6,N
VM-169,1,8,N
VM-170,2,4,N
VM-171,2,8,N
VM-172,2,12,N
VM-173,2,16,N
VM-174,2,8,N
VM-175,2,8,N
VM-176,1,2,N
VM-177,4,32,N
VM-178,1,2,N
VM-179,2,16,N
VM-180,1,2,N
VM-181,2,16,N
VM-182,2,4,N
VM-183,1,2,N
VM-184,1,4,N
